HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
5	5	4	3	4	2	4	4	4	2	1	1	1	1	5	3	2	1	1	3	2	1	23	2	60	CA
5	5	5	2	2	4	4	5	5	2	3	2	2	2	4	4	3	2	3	5	4	3	13	2	79	GB
1	3	4	2	4	5	4	5	4	4	5	2	5	5	2	2	4	2	4	4	3	3	18	1	94	US
5	4	4	1	4	3	3	4	4	3	2	4	3	3	2	2	1	1	2	4	2	1	35	2	33	US
2	2	3	2	2	4	3	2	3	2	2	2	2	4	2	2	2	2	2	4	4	2	21	2	90	GB
5	1	5	5	3	5	2	5	5	5	5	3	1	3	5	1	1	3	3	5	1	3	14	2	80	US
2	2	1	1	2	4	4	4	2	1	1	2	1	4	4	4	1	1	2	4	2	1	40	1	90	GB
4	2	5	3	3	5	4	3	5	3	4	4	3	4	4	3	4	2	3	4	2	3	12	1	91	US
5	3	3	3	5	5	4	4	3	3	5	5	3	3	5	5	4	1	5	5	5	5	34	1	90	GB
4	5	4	3	2	4	4	4	3	2	2	1	4	5	5	3	2	2	2	2	4	2	17	2	60	GB
5	5	5	4	5	5	5	1	4	3	1	4	1	3	5	4	2	4	1	5	5	2	42	1	80	US
2	2	1	2	1	3	2	1	2	1	1	1	1	1	4	4	2	2	2	3	3	1	42	2	50	US
1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	32	1	99	US
3	4	5	2	4	3	3	3	4	4	4	3	4	3	2	2	2	2	4	4	3	3	20	2	95	US
4	3	2	2	4	4	4	2	2	2	4	1	4	3	4	4	3	3	3	3	4	2	21	1	93	IR
4	4	2	2	2	2	4	4	4	2	1	1	1	3	2	3	2	2	3	4	2	1	20	1	50	US
4	4	2	2	1	4	4	4	1	1	3	3	3	3	2	2	3	2	2	2	3	1	39	1	95	GB
5	2	4	4	4	5	4	5	2	2	4	4	4	5	3	2	1	2	5	4	4	5	18	2	99	US
4	2	4	3	4	4	4	4	4	5	4	3	2	5	4	2	4	2	3	4	3	2	21	1	75	AU
5	2	1	3	5	4	5	5	3	4	5	5	5	3	5	5	5	5	5	3	5	4	25	1	50	IE
2	3	3	2	2	3	4	1	3	1	1	1	2	3	2	4	2	2	2	4	3	1	37	2	90	US
3	4	4	2	2	2	4	3	3	2	2	2	2	3	4	4	2	2	2	4	4	2	36	1	51	US
3	1	3	2	4	4	2	1	1	2	1	1	4	1	3	3	1	1	1	4	4	1	48	1	90	US
4	1	1	5	5	5	2	5	4	4	5	4	5	5	5	3	3	4	4	4	4	3	25	1	87	US
4	3	3	3	4	4	4	3	3	1	2	2	2	3	5	4	4	3	3	4	4	2	19	1	70	CA
5	1	4	4	4	5	3	5	4	5	4	3	4	4	5	3	5	2	4	4	4	4	18	1	90	US
4	2	3	2	4	5	2	2	2	2	4	2	5	4	4	3	2	1	2	3	2	1	22	2	80	US
4	3	2	3	4	3	4	5	2	5	2	3	3	4	5	3	5	2	4	4	4	3	21	1	77	US
5	5	5	3	2	5	5	5	4	1	1	1	1	3	5	4	2	4	4	4	4	3	18	2	90	US
5	4	5	3	3	5	5	5	5	1	5	4	1	5	5	3	1	3	5	5	5	4	19	1	79	CA
4	3	4	2	3	3	4	2	3	1	2	1	2	4	2	3	3	3	3	3	3	1	37	2	98	AU
4	5	5	3	4	5	5	3	5	1	4	2	2	5	5	4	1	4	4	4	3	2	17	2	90	US
2	2	4	2	3	4	2	3	3	3	4	3	4	5	3	2	1	2	2	5	2	1	17	2	50	MY
5	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	32	1	75	LV
4	4	5	2	2	5	4	2	5	2	1	3	1	5	5	5	5	2	5	5	5	5	18	1	90	SG
4	3	4	4	4	4	4	4	4	4	4	4	3	4	4	3	3	4	4	4	4	4	22	2	77	IN
5	5	5	4	5	5	4	5	5	5	4	5	4	5	5	5	5	5	5	5	5	4	0	1	99	US
4	3	3	3	4	4	3	1	3	3	1	2	1	4	3	3	3	2	2	4	3	1	37	2	89	BE
5	5	5	1	5	5	5	5	5	1	4	1	2	5	4	2	2	4	2	5	5	2	22	1	100	AU
2	4	3	4	3	2	3	2	4	2	1	2	1	2	3	3	2	2	1	2	3	2	49	2	50	US
2	2	2	2	3	3	4	1	2	3	2	2	2	4	4	4	4	2	3	4	4	2	65	1	80	CA
4	2	2	4	4	5	2	4	3	5	4	4	4	4	5	4	4	4	4	5	4	4	0	1	90	GB
5	3	2	2	2	5	4	2	4	2	2	2	1	5	4	2	2	2	4	2	2	2	35	2	7	US
5	3	4	4	4	5	4	4	5	3	4	3	4	5	4	4	3	2	5	5	4	3	16	1	50	GB
4	5	4	4	2	5	4	3	5	1	2	1	2	4	5	4	4	3	2	2	3	2	19	1	7	GB
3	4	4	4	4	3	4	4	4	4	4	4	3	3	4	4	4	4	4	4	5	4	42	1	80	US
1	5	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32	1	100	HK
2	2	2	2	2	4	2	2	4	2	2	1	1	3	4	2	3	2	2	4	4	1	48	2	90	GB
3	2	4	2	3	4	4	3	3	5	3	2	4	5	4	4	3	1	3	4	4	3	58	1	80	SE
4	5	4	1	4	5	4	2	4	2	1	1	3	5	1	1	1	2	3	4	2	1	17	2	90	US
4	1	3	2	4	2	2	3	2	1	5	2	4	4	3	3	4	3	3	4	3	3	19	1	80	BR
3	3	2	2	2	4	4	3	4	1	2	3	4	4	5	2	5	4	5	4	4	4	23	1	99	RO
4	4	2	2	2	4	4	2	4	2	1	1	2	4	4	4	2	2	2	2	3	2	51	1	40	US
5	4	2	4	5	5	5	3	3	4	4	3	4	5	5	5	5	5	4	4	3	4	16	2	95	US
4	1	1	2	3	4	5	1	4	1	2	3	2	1	5	5	1	1	4	4	5	3	15	1	75	US
4	4	5	2	3	4	4	3	5	2	1	3	4	4	3	3	1	2	1	3	2	2	18	1	100	US
5	2	2	3	3	5	4	5	3	4	5	4	3	5	2	3	3	3	2	5	3	4	39	1	99	IE
3	1	2	2	2	4	1	3	3	2	2	2	3	4	3	2	2	2	2	4	4	2	40	2	90	US
2	3	4	4	2	3	2	4	4	4	3	2	3	3	3	3	4	4	2	2	2	0	23	2	80	IT
2	3	4	5	4	2	4	1	1	1	2	2	2	2	2	1	1	2	1	2	1	2	19	2	99	GB
1	2	3	2	1	3	2	2	2	1	1	1	1	4	1	2	1	1	1	2	1	1	18	1	85	GB
2	1	1	3	1	4	1	2	1	1	5	5	4	4	3	4	4	1	5	5	5	5	18	1	100	GB
5	4	5	5	5	5	4	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	17	1	95	GB
4	4	3	1	1	1	4	2	4	1	1	1	1	1	2	2	2	1	1	3	1	1	19	1	90	SE
1	2	3	2	1	2	2	1	1	1	1	1	1	4	1	2	1	2	1	2	2	1	18	1	85	GB
5	1	4	5	5	5	2	4	2	2	4	4	4	5	5	5	5	5	5	5	5	5	0	0	90	RO
2	2	4	2	2	3	4	2	4	1	2	2	1	2	5	4	4	1	3	4	2	1	20	2	80	US
5	4	5	1	2	5	4	2	4	1	1	2	1	4	4	4	1	3	2	5	5	2	43	1	90	GB
2	3	4	1	2	5	4	2	4	2	2	2	2	4	4	1	1	1	1	4	2	2	18	1	80	US
2	1	4	4	4	4	4	4	5	4	5	5	5	5	5	4	4	4	3	4	2	3	15	3	85	US
4	5	5	2	2	3	4	2	4	2	2	1	2	3	4	3	2	2	2	4	4	2	21	2	80	GB
4	4	4	4	2	4	4	3	4	2	3	4	2	2	4	3	4	2	2	5	3	3	17	1	80	GB
4	3	4	2	4	4	3	5	2	4	4	3	3	4	4	2	3	3	3	2	3	2	21	1	80	US
4	5	5	2	1	3	4	1	3	1	1	1	1	5	4	3	1	1	4	4	4	2	27	2	70	US
4	1	2	4	3	4	2	3	4	3	2	4	3	5	5	4	2	3	4	5	5	2	13	2	90	US
4	2	3	3	2	4	3	3	2	1	2	2	3	5	4	4	2	2	2	4	2	1	16	2	90	GB
5	4	5	2	4	3	5	5	5	4	4	4	5	4	5	4	5	3	5	5	5	2	37	1	75	CA
2	5	5	2	1	1	4	2	3	1	1	1	1	3	3	3	1	1	1	2	1	1	19	2	75	US
4	4	5	4	5	4	5	5	4	2	4	2	5	5	5	5	5	4	4	4	4	3	17	2	90	CA
1	1	5	2	5	5	5	5	1	5	4	5	5	1	1	1	3	5	5	5	1	5	13	2	100	US
4	3	5	3	4	5	3	4	5	3	4	2	4	4	5	5	4	5	5	5	4	4	18	1	90	US
5	1	1	1	5	5	1	5	3	2	5	5	5	5	3	2	4	3	4	5	2	4	20	1	100	US
4	3	2	2	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	29	2	98	A1
4	4	4	2	3	3	4	3	4	2	2	2	2	3	3	2	2	2	2	4	2	2	19	3	85	US
5	1	2	2	4	5	1	4	3	2	3	1	4	4	1	1	2	2	3	2	4	2	36	2	90	US
2	2	4	5	1	5	5	4	3	5	5	5	5	4	4	4	3	4	5	5	4	5	16	1	79	US
4	5	4	5	5	4	5	2	4	3	5	4	3	5	4	3	3	3	4	5	4	4	37	1	94	US
5	0	0	0	4	4	4	0	0	0	4	4	4	4	5	3	5	5	4	5	4	4	17	1	85	US
4	3	4	2	5	5	3	2	5	3	2	2	4	4	5	4	4	1	2	4	3	2	24	1	75	US
5	2	5	5	4	5	5	5	5	5	4	4	5	5	4	2	3	4	4	4	5	4	21	1	80	PH
4	4	5	2	4	4	4	2	2	4	2	2	4	4	2	2	1	1	2	4	2	1	22	2	95	US
5	5	4	4	4	5	5	2	4	3	2	2	5	5	5	4	4	4	5	5	4	4	19	1	85	AU
3	1	2	1	4	5	3	2	4	2	4	4	2	5	4	4	4	4	4	4	4	2	15	2	100	US
2	4	4	3	3	3	4	3	3	2	3	2	3	4	4	4	0	2	3	4	4	3	51	1	75	US
5	1	4	4	4	5	2	5	1	4	4	4	2	4	5	4	4	5	5	5	5	4	20	1	90	US
1	1	1	1	5	5	1	3	5	5	5	5	5	5	1	1	1	1	3	5	1	3	24	1	90	US
3	2	4	2	2	4	3	3	2	2	1	2	3	5	5	4	3	3	2	4	4	2	30	1	100	US
5	3	5	2	5	4	5	5	5	3	5	4	4	5	5	5	5	2	1	5	4	1	20	2	80	US
4	2	5	3	4	2	4	3	4	2	1	4	2	3	5	2	2	2	2	4	3	4	22	1	70	CA
5	2	4	2	4	5	5	5	4	2	4	1	5	5	5	4	3	4	4	3	2	2	21	2	85	US
5	5	5	5	2	5	5	2	4	3	2	1	3	4	5	2	4	2	4	3	2	3	24	2	50	US
5	5	4	1	3	2	5	1	3	1	1	1	1	1	1	3	1	1	1	3	4	3	18	2	60	US
4	5	4	2	3	4	4	5	4	2	1	1	3	3	3	3	1	2	3	3	3	1	20	2	97	MX
4	4	4	3	4	4	5	4	4	3	4	2	3	4	4	2	0	4	2	4	4	3	47	2	90	AU
4	2	2	1	0	5	3	2	4	1	2	1	1	0	5	4	2	1	2	3	1	2	19	1	80	AU
5	5	5	5	5	5	4	5	5	3	3	3	3	5	3	3	3	3	4	4	4	3	28	1	92	US
2	3	2	3	2	4	3	2	4	2	2	1	3	4	4	4	4	2	2	2	4	2	42	1	90	NZ
3	4	5	5	4	4	4	3	4	4	3	5	4	3	5	5	5	3	5	5	5	3	24	1	98	US
4	1	3	4	4	3	4	3	4	3	3	2	3	4	4	4	3	4	4	5	4	3	18	2	90	US
5	3	4	2	3	4	3	4	4	3	4	3	3	3	3	3	3	3	2	4	1	2	21	2	93	US
5	2	4	3	4	4	4	4	4	4	3	3	4	3	4	3	3	4	4	4	4	4	18	1	50	GB
2	2	3	4	4	5	2	4	3	2	4	4	4	5	4	4	3	4	5	5	4	5	18	1	100	GR
2	1	2	2	3	4	2	2	4	5	4	4	5	5	2	2	2	2	4	5	5	4	22	1	80	US
5	1	3	4	2	5	1	4	5	2	4	4	4	5	4	2	2	2	4	4	4	4	24	1	80	US
5	5	4	4	5	5	5	5	5	1	1	2	5	5	5	2	4	5	4	4	5	1	20	2	85	PH
4	3	4	2	2	4	3	3	4	2	2	2	3	3	4	4	3	4	4	3	4	0	23	2	78	MK
2	3	4	2	2	4	4	4	4	2	1	2	2	4	4	4	4	3	3	4	3	3	40	1	100	US
2	5	4	1	2	3	4	2	2	1	3	3	2	3	0	2	2	3	2	4	2	2	14	2	89	GB
5	5	5	5	4	4	5	4	5	5	2	1	2	5	5	4	2	4	3	4	4	2	21	2	70	US
2	5	5	1	1	1	4	2	2	1	1	1	2	1	2	2	1	1	1	2	1	1	40	2	90	US
2	2	2	4	5	3	5	5	2	4	5	5	5	5	5	4	4	2	5	5	5	5	23	1	98	GB
2	4	4	2	2	3	4	2	4	2	2	2	2	4	4	4	5	3	3	2	2	2	39	2	90	US
5	2	5	4	5	4	3	5	5	2	3	3	4	5	5	0	5	2	0	5	5	3	38	1	100	SE
5	5	5	1	5	5	4	5	5	3	5	5	4	5	5	5	5	5	5	5	5	5	20	1	99	FR
4	3	2	1	3	1	3	3	2	1	1	1	1	1	0	3	1	1	1	3	4	1	53	1	50	US
4	1	2	4	2	2	4	2	5	2	3	3	3	4	5	4	2	2	4	5	4	2	17	2	100	GB
2	4	5	1	4	4	4	2	5	2	2	2	3	2	4	2	2	1	2	4	4	2	14	2	76	GB
5	5	5	5	1	5	2	5	5	2	2	2	4	5	5	5	5	5	5	5	5	4	12	1	80	US
2	4	5	3	2	4	4	3	5	3	2	4	4	5	3	3	3	2	2	4	2	3	17	2	90	GB
5	4	4	4	4	4	5	4	4	2	4	4	4	4	4	5	4	4	5	5	4	5	36	1	90	LB
4	4	3	2	3	4	4	4	4	2	4	3	3	4	1	3	4	3	4	4	4	4	23	1	65	US
5	0	5	4	4	5	4	4	4	4	2	2	2	4	4	2	2	2	4	5	2	2	29	1	100	GB
5	2	4	4	4	5	2	5	2	5	4	5	3	4	2	4	2	2	4	5	5	2	29	2	75	GB
4	5	5	4	2	0	4	2	4	2	2	3	3	4	5	5	5	4	4	4	4	3	22	2	80	PK
3	2	2	2	4	4	2	2	2	3	3	4	3	5	2	2	2	2	2	2	4	2	21	2	100	GB
4	3	5	1	3	5	4	4	2	1	1	2	2	3	2	2	2	2	1	3	2	2	23	1	80	ZA
5	4	1	2	5	3	4	5	4	2	2	5	3	4	5	5	4	1	2	5	4	1	22	1	85	CA
5	3	4	4	3	4	4	4	4	3	5	3	4	4	4	4	5	3	3	5	4	4	21	1	80	GB
2	2	4	1	1	4	1	1	3	1	2	1	2	2	3	3	1	1	2	2	2	1	34	2	85	FR
4	4	5	3	5	5	4	5	4	4	2	2	3	3	2	2	1	2	2	3	2	2	32	1	93	SE
5	4	4	2	2	5	1	2	4	1	1	3	2	4	2	1	2	2	2	1	2	1	20	1	95	HU
5	1	1	5	5	3	4	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	27	1	100	CA
5	4	2	5	5	4	4	5	1	1	2	2	4	2	5	5	5	2	5	5	5	4	24	1	80	CA
4	3	4	2	4	4	4	4	4	3	3	1	4	4	3	4	3	4	4	4	4	3	26	1	90	GB
4	4	3	1	2	4	4	4	3	2	3	1	4	4	3	2	2	4	4	3	3	2	32	2	90	US
1	2	1	5	5	5	1	5	5	4	5	5	1	5	2	2	1	5	3	4	1	5	24	3	100	US
5	4	4	3	4	4	3	5	5	3	2	4	2	4	5	4	4	4	4	5	4	4	37	1	77	US
4	4	2	1	3	2	4	3	3	1	1	1	2	5	2	1	2	2	3	4	4	1	24	2	75	NL
4	4	4	3	3	4	4	4	4	3	2	2	3	4	3	3	3	2	4	5	4	3	18	2	50	DK
5	4	4	4	4	5	5	2	5	2	2	3	2	4	5	4	4	3	1	4	2	4	17	1	90	GB
1	1	1	4	3	5	1	3	3	5	5	5	5	5	4	1	4	5	5	5	4	4	30	1	80	US
4	5	3	5	2	4	4	4	5	1	3	4	3	5	3	5	3	4	2	2	4	2	17	2	90	US
5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	20	2	100	CA
4	4	4	5	4	5	4	4	2	2	5	5	4	3	4	4	4	3	5	5	4	4	15	2	37	GB
4	3	3	4	4	3	3	4	4	4	5	4	4	4	4	4	3	4	4	5	3	4	15	2	95	GB
4	3	4	4	1	4	3	2	4	1	5	4	4	5	4	4	4	4	2	4	3	4	16	1	80	GB
5	2	4	4	4	4	4	5	4	3	5	5	5	4	5	3	5	4	5	5	5	5	17	1	90	GB
5	2	5	5	4	5	4	5	5	4	5	5	5	5	5	3	5	5	2	4	5	4	16	1	95	GB
5	3	3	1	1	2	4	1	2	1	1	1	1	1	3	3	1	1	1	1	2	1	17	2	100	US
1	3	4	3	1	5	4	1	1	4	5	5	2	2	5	4	4	5	5	5	4	5	42	1	90	US
2	1	4	2	2	3	4	2	4	2	4	3	4	4	4	3	4	2	3	4	4	2	20	2	90	US
3	2	2	2	3	4	3	3	3	3	2	2	2	4	3	2	2	2	3	4	3	3	38	1	80	US
5	4	4	2	4	4	2	4	4	2	2	1	1	1	4	3	3	1	2	4	2	2	21	1	100	US
4	3	2	2	2	3	4	2	3	2	4	2	2	2	3	3	4	2	4	2	3	2	36	1	80	PK
1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33	1	88	PK
5	3	3	3	0	3	4	5	5	1	5	5	4	5	5	5	4	5	5	5	5	3	17	1	95	SG
4	4	4	2	3	4	4	3	3	4	4	4	4	4	4	3	4	2	4	4	3	0	18	1	88	US
5	1	5	1	5	5	4	5	5	5	2	5	4	5	2	0	2	3	2	5	5	2	22	2	70	AU
5	4	3	1	4	5	1	4	4	2	4	1	5	4	4	2	1	1	1	2	1	1	18	2	90	PK
3	5	3	1	2	3	3	2	4	1	1	1	1	3	4	2	2	1	1	3	3	1	42	2	90	GB
4	4	2	2	3	4	4	4	3	2	1	2	2	2	3	3	2	1	4	4	3	3	48	2	86	US
2	2	4	4	4	4	2	2	3	2	2	1	2	2	4	4	4	2	2	2	2	2	17	2	100	GB
4	5	5	4	3	4	4	5	4	4	2	3	3	3	5	5	3	2	3	4	4	3	15	2	77	GB
3	4	4	2	2	2	2	2	4	1	3	1	1	2	2	3	1	3	1	1	1	1	44	1	85	LB
5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	28	1	100	CA
4	4	4	2	2	2	4	2	2	2	1	1	4	2	4	2	2	2	2	4	4	2	44	2	7	IE
4	2	5	4	4	4	5	4	4	4	4	4	4	5	4	2	2	3	4	4	4	3	28	1	80	US
3	4	3	2	3	2	4	3	2	1	1	1	1	3	3	3	2	2	2	2	2	1	34	1	80	GB
2	5	5	2	2	2	5	2	4	2	1	2	2	1	1	1	2	2	1	4	4	2	45	2	75	US
4	2	2	2	2	4	1	4	4	4	1	5	2	3	4	2	2	2	1	1	2	3	16	1	95	US
1	2	4	4	2	5	2	2	4	2	1	2	3	4	4	4	4	2	2	4	2	3	23	1	90	AU
2	5	5	2	1	5	5	1	2	1	2	2	4	4	4	1	3	3	3	4	5	1	16	2	50	GB
4	1	1	5	1	5	3	1	5	1	4	1	3	3	4	5	5	2	2	5	4	1	15	1	70	US
5	5	5	2	5	4	5	5	5	5	5	5	4	4	5	5	5	3	5	5	5	4	21	2	90	CA
4	4	4	2	2	5	4	2	4	2	1	2	2	2	4	4	2	2	1	2	2	2	15	2	90	US
4	2	3	2	2	3	3	2	3	1	2	1	4	2	4	4	4	2	2	2	3	2	15	1	75	US
3	5	5	4	1	4	4	3	4	3	5	2	5	3	2	2	2	4	3	5	4	4	15	2	88	GB
4	3	4	3	3	4	3	3	5	3	2	2	4	3	4	4	5	4	4	4	5	4	16	1	99	US
4	2	2	1	3	3	2	2	4	2	1	2	1	2	4	3	3	2	1	3	4	1	15	1	90	US
3	4	4	1	4	2	4	2	3	2	1	1	2	5	4	3	4	1	1	5	4	2	39	1	85	GB
3	5	5	5	4	5	5	4	5	3	2	1	1	2	3	1	1	4	4	2	3	2	26	1	60	ZA
3	4	2	3	3	4	4	2	4	4	3	2	2	4	4	2	2	2	1	4	2	2	56	1	95	US
4	3	3	2	2	4	2	2	4	1	1	1	1	1	5	4	4	1	1	2	3	1	25	1	85	LB
4	1	4	2	1	5	4	1	4	1	1	1	1	5	3	3	2	1	2	4	1	2	22	2	98	US
1	1	1	1	4	4	2	1	1	2	3	3	5	5	2	1	3	4	4	5	4	4	15	1	90	US
5	4	4	3	4	3	5	5	4	2	4	5	3	3	5	4	4	5	5	5	3	4	42	2	70	PL
4	1	2	3	4	5	4	4	4	4	5	5	5	4	5	5	5	4	5	5	5	4	16	1	89	GB
3	1	3	3	2	5	1	2	3	4	1	1	1	3	4	3	3	4	3	4	5	2	54	1	80	US
2	4	3	3	2	2	2	2	2	1	2	1	2	2	4	4	3	3	1	2	2	2	64	1	90	US
5	5	2	2	4	5	5	2	5	1	3	2	5	5	4	2	4	4	4	5	5	4	21	1	80	GB
4	5	5	2	3	4	3	2	4	1	3	1	2	3	4	2	3	2	3	4	2	2	14	2	99	GB
4	5	4	4	5	5	4	5	3	4	5	4	4	5	1	4	2	2	4	4	4	4	22	1	80	GB
2	1	2	1	3	5	4	4	4	2	3	2	4	5	2	2	2	2	1	4	1	2	20	1	85	DE
4	5	0	2	2	4	4	2	3	2	2	1	1	3	5	4	2	3	2	2	4	1	15	2	40	US
5	4	4	4	3	5	4	4	5	1	4	5	4	4	5	5	5	3	5	5	3	4	19	1	100	CA
3	2	4	1	3	2	3	1	3	1	2	2	4	4	3	2	3	1	3	3	3	2	34	1	90	US
4	4	1	3	4	4	2	3	5	4	3	2	4	5	4	5	4	4	4	4	5	4	33	1	90	US
5	5	3	4	4	5	4	3	3	4	4	2	4	4	3	3	3	4	3	4	2	3	12	2	99	US
3	2	2	2	3	3	3	4	4	2	4	2	2	2	4	4	3	3	3	4	2	2	18	1	75	GB
4	4	2	3	2	4	4	3	2	4	4	4	4	4	4	5	4	2	4	4	4	3	48	1	85	CA
4	4	4	2	4	4	4	2	4	3	2	2	4	4	3	4	2	2	4	4	4	2	18	2	90	GB
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	45	1	90	US
4	4	5	2	2	1	5	3	4	2	4	3	4	4	5	4	3	4	3	4	2	2	14	2	45	GB
4	1	2	2	2	4	1	2	2	2	2	1	2	4	2	2	2	2	2	4	4	1	15	2	90	US
5	3	3	3	5	5	3	4	3	3	4	3	4	4	3	3	2	3	4	5	5	4	31	1	60	IE
5	5	5	3	5	5	5	4	5	1	5	3	4	5	5	5	4	5	5	5	2	4	34	2	87	US
4	1	2	2	4	2	2	4	3	5	5	5	5	5	5	4	4	4	5	5	5	5	43	1	100	CA
5	2	4	5	4	5	5	5	5	1	3	3	4	4	5	4	4	4	4	5	3	2	17	2	89	CA
3	2	2	3	4	5	2	3	5	4	4	0	5	4	3	3	4	3	4	5	4	4	17	1	95	US
2	4	4	4	2	4	5	2	5	2	1	1	1	4	5	4	5	1	4	4	5	1	16	2	100	US
4	1	3	2	2	5	2	3	4	1	2	1	2	2	5	4	4	2	1	2	3	2	22	1	85	US
5	3	4	0	4	5	2	4	2	3	5	4	4	4	4	4	5	4	2	5	5	2	24	1	95	US
4	0	5	3	2	4	5	2	4	1	1	1	1	2	4	4	3	2	1	4	2	1	35	2	90	US
5	1	1	1	4	5	5	5	1	2	4	4	4	4	2	1	1	1	2	1	1	1	21	1	90	US
4	2	3	2	5	2	4	4	5	2	4	1	5	5	4	4	2	4	4	4	4	4	36	1	100	ZA
4	3	4	2	4	4	4	5	4	5	3	2	4	5	5	5	4	4	3	3	4	3	26	1	80	US
4	4	3	3	4	4	2	4	3	4	3	4	4	4	2	2	2	2	4	4	4	4	14	1	95	US
5	1	3	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	3	5	24	2	99	US
4	4	4	3	3	3	2	2	4	1	2	2	1	2	5	5	1	1	2	4	1	1	18	2	90	US
4	5	3	1	2	4	4	2	5	2	3	2	2	3	3	2	1	0	3	4	5	2	64	2	65	US
3	3	3	2	4	4	3	5	5	4	1	4	2	1	5	4	4	1	4	4	5	2	41	1	100	US
5	1	1	5	5	5	1	5	0	1	2	5	4	5	5	1	5	1	4	2	4	4	18	1	93	MY
3	2	3	4	3	5	3	2	2	2	4	2	3	3	5	3	4	2	4	4	2	2	24	2	90	JO
1	4	4	2	1	5	4	1	2	1	1	1	2	5	4	3	2	2	4	4	4	2	18	1	90	CA
5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	1	3	1	3	1	25	1	99	IN
2	1	2	5	2	5	1	4	4	2	4	2	4	5	4	2	2	2	4	5	1	2	36	1	80	US
4	3	1	0	4	4	2	3	5	5	4	5	4	5	5	4	3	3	5	5	5	1	24	2	85	US
5	5	4	2	4	4	5	3	3	4	3	3	3	4	2	2	2	4	5	5	4	3	0	2	80	CA
5	4	4	4	5	5	4	4	4	4	3	3	3	4	5	5	5	4	4	5	5	4	21	1	85	LV
4	4	4	0	4	4	4	2	4	2	4	4	4	2	4	4	4	4	4	4	4	2	42	1	100	PK
4	5	5	2	2	5	4	4	5	1	3	2	2	5	3	1	2	3	3	4	2	3	20	1	100	GB
4	1	2	2	2	2	2	4	4	1	1	2	4	5	4	2	4	1	3	4	4	4	20	1	85	US
4	3	4	2	2	2	4	4	2	2	1	1	1	2	4	2	4	2	1	2	2	1	47	2	80	GB
5	1	2	5	3	5	2	5	4	3	5	1	5	5	5	4	5	5	4	5	4	4	26	1	90	US
5	5	5	3	5	5	5	5	4	4	2	3	3	4	4	4	4	4	3	3	3	3	18	2	80	ID
5	4	5	5	3	5	5	4	5	3	3	2	5	5	5	3	5	5	5	3	5	3	33	1	85	US
1	1	1	4	1	5	1	1	1	1	5	5	1	4	3	4	5	2	5	5	5	5	17	2	98	US
2	4	3	5	3	4	4	4	5	2	2	4	3	3	5	5	5	4	4	4	4	3	18	2	90	PL
4	3	5	5	2	4	5	4	5	2	4	2	4	4	5	5	5	4	3	5	4	4	18	1	99	US
4	4	4	3	2	4	4	2	4	2	2	2	2	4	4	3	4	2	4	4	4	3	24	1	80	NO
4	4	2	2	4	2	2	2	2	2	2	1	4	4	4	3	2	1	2	2	4	2	36	2	90	RO
3	2	4	2	3	3	2	3	3	2	1	3	2	3	3	3	2	2	2	4	4	1	44	1	97	US
5	5	1	3	4	4	5	5	5	2	5	4	3	3	5	5	5	5	5	5	3	5	18	1	100	AE
5	3	3	5	3	5	5	5	3	5	5	3	3	5	3	3	5	3	3	3	1	3	37	1	100	GB
4	4	4	4	3	4	4	4	3	3	1	2	4	5	4	4	2	4	4	4	4	4	46	1	90	US
4	4	4	2	2	2	2	3	2	2	1	1	4	4	3	4	2	3	2	2	3	2	45	1	90	US
3	3	2	2	2	4	3	1	2	2	1	1	1	1	4	4	2	2	1	2	2	2	27	2	92	US
4	2	4	3	3	4	3	4	3	2	3	4	4	3	4	4	3	3	3	4	4	3	19	1	100	PH
5	4	2	3	5	5	4	4	5	4	5	4	2	5	5	5	5	5	4	5	4	4	21	1	75	GB
3	4	2	3	3	2	4	2	1	1	1	2	1	2	4	3	2	3	4	4	4	2	21	2	88	GB
4	1	1	3	4	5	1	4	5	2	5	2	4	5	2	2	2	1	5	3	4	4	30	1	85	US
4	3	2	2	2	4	4	3	4	1	2	2	2	4	4	3	4	4	5	5	5	4	20	1	90	GB
3	2	5	3	3	5	5	4	5	5	3	2	4	4	5	2	3	3	4	3	3	3	22	1	90	US
